********** Daily MYD08_D3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean)
Selected time period: 01Jan2012
Fill value:  -9999.0
User selected area:  (Lat: 90.0S - 90.0N) (Lon: 180.0W - 180.0E)
Actual output area:  (Lat: 89.5S - 89.5N) (Lon: 179.5W - 179.5E)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean
(degrees)    (degrees)      [unitless]
-88.500       84.500    -9.99900e+03
-88.500       85.500    -9.99900e+03
-88.500       86.500    -9.99900e+03
-88.500       87.500    -9.99900e+03
-88.500       88.500    -9.99900e+03
-88.500       89.500    -9.99900e+03
-88.500       90.500    -9.99900e+03
-88.500       91.500    -9.99900e+03
-88.500       92.500    -9.99900e+03
-88.500       93.500    -9.99900e+03
-88.500       94.500    -9.99900e+03
-88.500       95.500    -9.99900e+03
-88.500       96.500    -9.99900e+03
-88.500       97.500    -9.99900e+03
-88.500       98.500    -9.99900e+03
-88.500       99.500    -9.99900e+03
-88.500      100.500    -9.99900e+03
-88.500      101.500    -9.99900e+03
-88.500      102.500    -9.99900e+03
-88.500      103.500    -9.99900e+03
-88.500      104.500    -9.99900e+03
-88.500      105.500    -9.99900e+03
-88.500      106.500    -9.99900e+03
-88.500      107.500    -9.99900e+03
-88.500      108.500    -9.99900e+03
-88.500      109.500    -9.99900e+03
-88.500      110.500    -9.99900e+03
-88.500      111.500    -9.99900e+03
-88.500      112.500    -9.99900e+03
-88.500      113.500    -9.99900e+03
-88.500      114.500    -9.99900e+03
-88.500      115.500    -9.99900e+03
-88.500      116.500    -9.99900e+03
-88.500      117.500    -9.99900e+03
-88.500      118.500    -9.99900e+03
-88.500      119.500    -9.99900e+03
-88.500      120.500    -9.99900e+03
-88.500      121.500    -9.99900e+03
-88.500      122.500    -9.99900e+03
-88.500      123.500    -9.99900e+03
-88.500      124.500    -9.99900e+03
-88.500      125.500    -9.99900e+03
-88.500      126.500    -9.99900e+03
-88.500      127.500    -9.99900e+03
-88.500      128.500    -9.99900e+03
-88.500      129.500    -9.99900e+03
-88.500      130.500    -9.99900e+03
-88.500      131.500    -9.99900e+03
-88.500      132.500    -9.99900e+03
-88.500      133.500    -9.99900e+03
-88.500      134.500    -9.99900e+03
-88.500      135.500    -9.99900e+03
-88.500      136.500    -9.99900e+03
-88.500      137.500    -9.99900e+03
-88.500      138.500    -9.99900e+03
-88.500      139.500    -9.99900e+03
-88.500      140.500    -9.99900e+03
-88.500      141.500    -9.99900e+03
-88.500      142.500    -9.99900e+03
-88.500      143.500    -9.99900e+03
-88.500      144.500    -9.99900e+03
-88.500      145.500    -9.99900e+03
-88.500      146.500    -9.99900e+03
-88.500      147.500    -9.99900e+03
-88.500      148.500    -9.99900e+03
-88.500      149.500    -9.99900e+03
-88.500      150.500    -9.99900e+03
-88.500      151.500    -9.99900e+03
-88.500      152.500    -9.99900e+03
-88.500      153.500    -9.99900e+03
-88.500      154.500    -9.99900e+03
-88.500      155.500    -9.99900e+03
-88.500      156.500    -9.99900e+03
-88.500      157.500    -9.99900e+03
-88.500      158.500    -9.99900e+03
-88.500      159.500    -9.99900e+03
-88.500      160.500    -9.99900e+03
-88.500      161.500    -9.99900e+03
-88.500      162.500    -9.99900e+03
-88.500      163.500    -9.99900e+03
-88.500      164.500    -9.99900e+03
